ID,Status,Business Unit,Issue ID,Action Plan Name,Issue Source,Action Plan Description,Action Plan Validation Steps,Linked to Regulatory Engagements,Technology Dependent,Action Plan Target Date,Action Plan Validation Target Date,Action Plan Owner,Action Plan Approver,Action Plan Owner Record Manager,Action Plan Approver Record Manager,Interested Parties,Hyperlinks,fxValidateRoleAssignments,Action Plan Linked To,Action Plan Health Check,Progress Updates,Issue - Target Closure Date,Action Plan Start Date,Due Date Extension Count,Validation Failure Count,Original Action Plan Target Date,Current Action Plan Target Date,State at Last Save,Date Action Plan Closed,Override - All,Override - Users,Due Date Extensions,Extension Issue ID,Extension Type,Requested Closure Type,Closure Request Justification,Confirm Action Plan Record Complete,Confirm Closure Validation,Closure Validation Justification,Action Plan Closure Sign-Off,Action Plan Closure Sign-off Date,Confirm Secondary Validation,Secondary Validation Comments,Secondary Validation Sign-Off,External Validation Sign-off Date,Engagements,Original Register,Original ID,Original Created Date,Original Closed Date,Original Link,Migrated Record,Create Date,Created By,Last Modified Date,Last Modified By,System Status
1017889,In Progress,Counsel - Cash Compliance,1022483,G-04.2,Regulatory Identified,Document and assess the current state of Cash App's Graduated Product Framework and define a methodology for updates.,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/31/2026,05/30/2026,Lauren Butters,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022483,,,,01/08/2026,,,03/31/2026,03/31/2026,In Progress,,FALSE,,,1017889,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017891,In Progress,Counsel - Cash Compliance,1022483,G-04.3,Regulatory Identified,Update or develop relevant documentation to reflect changes to Cash App's Graduated Product Framework and establish a single source of truth consolidation of documentation.,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/30/2026,11/29/2026,Lauren Butters,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022483,,,,01/08/2026,,,09/30/2026,09/30/2026,In Progress,,FALSE,,,1017891,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017893,In Progress,Counsel - Compliance,1022483,G-04.4,Regulatory Identified,Operational Readiness: Training,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/30/2026,11/29/2026,Stevi Winer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022483,,,,01/08/2026,,,09/30/2026,09/30/2026,In Progress,,FALSE,,,1017893,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017895,In Progress,Counsel - Cash Compliance,1022483,G-04.5,Regulatory Identified,Demonstrate Sustainability.,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,10/30/2026,12/29/2026,Lauren Butters,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022483,,,,01/08/2026,,,10/30/2026,10/30/2026,In Progress,,FALSE,,,1017895,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017897,In Progress,Counsel - Cash Compliance,1022485,G-05.1,Regulatory Identified,Establish Compliance and Risk Machine Learning (ML) operating and engagement model,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,01/30/2026,03/31/2026,Michael Roemer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022485,,,,01/08/2026,,,01/30/2026,01/30/2026,In Progress,,FALSE,,,1017897,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017899,In Progress,Counsel - Cash Compliance,1022485,G-05.2,Regulatory Identified,Obtain program-specific expectations regarding rule coverage,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,01/30/2026,03/31/2026,Michael Roemer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022485,,,,01/08/2026,,,01/30/2026,01/30/2026,In Progress,,FALSE,,,1017899,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017901,In Progress,Counsel - Cash Compliance,1022485,G-05.3,Regulatory Identified,Establish minimum standards and oversight requirements for the governance and testing of rules,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,02/27/2026,04/28/2026,Michael Roemer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022485,,,,01/08/2026,,,02/27/2026,02/27/2026,In Progress,,FALSE,,,1017901,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017903,In Progress,Counsel - Cash Compliance,1022485,G-05.4,Regulatory Identified,Develop and implement Compliance-wide rulebook(s) that encompasses all Compliance-related rules into a complete and centralized repository,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,02/27/2026,04/28/2026,Michael Roemer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022485,,,,01/08/2026,,,02/27/2026,02/27/2026,In Progress,,FALSE,,,1017903,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017905,In Progress,Counsel - Cash Compliance,1022485,G-05.5,Regulatory Identified,Develop E2E Rule Evaluation and Deployment Framework,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/31/2026,05/30/2026,Michael Roemer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022485,,,,01/08/2026,,,03/31/2026,03/31/2026,In Progress,,FALSE,,,1017905,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017907,In Progress,Counsel - Cash Compliance,1022485,G-05.6,Regulatory Identified,Demonstrate Sustainability,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,04/30/2026,06/29/2026,Michael Roemer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022485,,,,01/08/2026,,,04/30/2026,04/30/2026,In Progress,,FALSE,,,1017907,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017909,In Progress,Counsel - Compliance,1022487,G-06.1,Regulatory Identified,"Define scope and stakeholder organizations for BSA/AML, KYC, and Sanctions typologies for Denylisting",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,01/09/2026,03/10/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,01/09/2026,01/09/2026,In Progress,,FALSE,,,1017909,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017911,In Progress,Counsel - Compliance,1022487,G-06.2,Regulatory Identified,"Document the current state of the BSA/AML, KYC, and Sanctions Denylisting process",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,02/20/2026,04/21/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,02/20/2026,02/20/2026,In Progress,,FALSE,,,1017911,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:22 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017913,In Progress,Counsel - Compliance,1022487,G-06.3,Regulatory Identified,Identify process and tooling enhancements based on current state assessment,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/27/2026,05/26/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,03/27/2026,03/27/2026,In Progress,,FALSE,,,1017913,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017915,In Progress,Counsel - Compliance,1022487,G-06.4,Regulatory Identified,Centralize Financial Crimes Denylisting,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/30/2026,05/29/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,03/30/2026,03/30/2026,In Progress,,FALSE,,,1017915,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017917,In Progress,Counsel - Compliance,1022487,G-06.5,Regulatory Identified,"Define policy requirements overseeing BSA/AML, KYC, and Sanctions related Denylisting",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,04/01/2026,05/31/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,04/01/2026,04/01/2026,In Progress,,FALSE,,,1017917,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017919,In Progress,Counsel - Compliance,1022487,G-06.6,Regulatory Identified,Analyze the current state against desired enhancements,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,04/24/2026,06/23/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,04/24/2026,04/24/2026,In Progress,,FALSE,,,1017919,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017921,In Progress,Counsel - Compliance,1022487,G-06.7,Regulatory Identified,Document impacted changes required across function and processes,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,05/22/2026,07/21/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,05/22/2026,05/22/2026,In Progress,,FALSE,,,1017921,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017923,In Progress,Counsel - Compliance,1022487,G-06.8,Regulatory Identified,"Draft and approve the BSA/AML, KYC, and Sanctions Denylist policies and/or standards",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,06/30/2026,08/29/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,06/30/2026,06/30/2026,In Progress,,FALSE,,,1017923,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017925,In Progress,Counsel - Compliance,1022487,G-06.9,Regulatory Identified,Tooling: Technical design development,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,06/30/2026,08/29/2026,Cesar Alaniz,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,06/30/2026,06/30/2026,In Progress,,FALSE,,,1017925,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017927,In Progress,Counsel - Compliance,1022487,G-06.10,Regulatory Identified,Tooling: Test technology changes to support identified enhancements,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,08/30/2026,10/29/2026,Cesar Alaniz,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,08/30/2026,08/30/2026,In Progress,,FALSE,,,1017927,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017929,In Progress,Counsel - Compliance,1022487,G-06.11,Regulatory Identified,Identify and scope procedural requirements,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/15/2026,11/14/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,09/15/2026,09/15/2026,In Progress,,FALSE,,,1017929,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017931,In Progress,Counsel - Compliance,1022487,G-06.12,Regulatory Identified,Draft and approve the procedure,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/15/2026,11/14/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,09/15/2026,09/15/2026,In Progress,,FALSE,,,1017931,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017933,In Progress,Counsel - Compliance,1022487,G-06.13,Regulatory Identified,Communicate updated documentation changes,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/15/2026,11/14/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,09/15/2026,09/15/2026,In Progress,,FALSE,,,1017933,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017935,In Progress,Counsel - Compliance,1022487,G-06.14,Regulatory Identified,Operational Readiness: Train on policies/standards and procedures,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/15/2026,11/14/2026,Scott Werner,Vanessa Zaragocin,,Danielle Franklin,Anisha Sakariya-Patel,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,09/15/2026,09/15/2026,In Progress,,FALSE,,,1017935,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017937,In Progress,Counsel - Compliance,1022487,G-06.15,Regulatory Identified,Update controls inventory,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/15/2026,11/14/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,09/15/2026,09/15/2026,In Progress,,FALSE,,,1017937,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017939,In Progress,Counsel - Compliance,1022487,G-06.16,Regulatory Identified,Approval step prior to Implementation,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/15/2026,11/14/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,09/15/2026,09/15/2026,In Progress,,FALSE,,,1017939,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017941,In Progress,Counsel - Compliance,1022487,G-06.17,Regulatory Identified,Launch enhancements,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/15/2026,11/14/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,09/15/2026,09/15/2026,In Progress,,FALSE,,,1017941,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017943,In Progress,Counsel - Compliance,1022487,G-06.18,Regulatory Identified,Demonstrate Sustainability,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,10/15/2026,12/14/2026,Ken Triemstra,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022487,,,,01/08/2026,,,10/15/2026,10/15/2026,In Progress,,FALSE,,,1017943,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017945,In Progress,Counsel - Cash Compliance,1022489,G-07.1,Regulatory Identified,Define scope of Cash App's Long-Term Inactives framework.,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/15/2026,05/14/2026,Lauren Butters,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022489,,,,01/08/2026,,,03/15/2026,03/15/2026,In Progress,,FALSE,,,1017945,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:31 AM,Jane Lin,active
1017947,In Progress,Cash - Product - Health,1022489,G-07.2,Regulatory Identified,"Assess the current state of LTI criteria and update or develop documentation, as applicable.",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,06/30/2026,08/29/2026,Yona Koch-Fienberg,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022489,,,,01/08/2026,,,06/30/2026,06/30/2026,In Progress,,FALSE,,,1017947,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017949,In Progress,Counsel - Compliance,1022489,G-07.3,Regulatory Identified,"Operational Readiness, Training: Develop and deliver training pertaining to changes to LTI framework",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,06/30/2026,08/29/2026,Stevi Winer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022489,,,,01/08/2026,,,06/30/2026,06/30/2026,In Progress,,FALSE,,,1017949,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017951,In Progress,Operational Risk Leadership,1022489,G-07.4,Regulatory Identified,Update controls inventory,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,06/30/2026,08/29/2026,Naina Jain,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022489,,,,01/08/2026,,,06/30/2026,06/30/2026,In Progress,,FALSE,,,1017951,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017953,In Progress,Counsel - Cash Compliance,1022489,G-07.5,Regulatory Identified,Demonstrate Sustainability,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,07/31/2026,09/29/2026,Lauren Butters,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022489,,,,01/08/2026,,,07/31/2026,07/31/2026,In Progress,,FALSE,,,1017953,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017955,In Progress,Cash - MLE - Health,1022491,DT-01.1,Regulatory Identified,Review existing documentation and design and establish documentation of the technical systems used for detection and reporting within Cash App Transaction Monitoring and KYC programs,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,10/30/2026,12/29/2026,Kyle De Freitas,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022491,,,,01/08/2026,,,10/30/2026,10/30/2026,In Progress,,FALSE,,,1017955,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017957,In Progress,Counsel - CET - Data Engineering,1022491,DT-01.2,Regulatory Identified,Create Snowflake data lineage flow documentation for KYC and TM detection processes (Duplicate DT-07 Milestone),https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,10/30/2026,12/29/2026,Aditya Nagpal,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022491,,,,01/08/2026,,,10/30/2026,10/30/2026,In Progress,,FALSE,,,1017957,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017959,In Progress,Counsel - Cash Compliance,1022491,DT-01.3,Regulatory Identified,Demonstrate Sustainability,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,10/30/2026,12/29/2026,Michael Roemer,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022491,,,,01/08/2026,,,10/30/2026,10/30/2026,In Progress,,FALSE,,,1017959,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017961,In Progress,Counsel - CET - Program Engineering,1022493,DT-02.1,Regulatory Identified,"Finalize requirements, upstream sources, and data owners for the existing transaction search service to enable standardized transaction scope definitions.",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/31/2026,05/30/2026,Jim Liu,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022493,,,,01/08/2026,,,03/31/2026,03/31/2026,In Progress,,FALSE,,,1017961,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:23 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017963,In Progress,Counsel - Compliance,1022493,DT-02.2,Regulatory Identified,Establish a risk rating framework used consistently in both KYC and TM processes,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/31/2026,05/30/2026,Cindy Williams,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022493,,,,01/08/2026,,,03/31/2026,03/31/2026,In Progress,,FALSE,,,1017963,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:24 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017965,In Progress,Counsel - CET - Screening Engineering,1022493,DT-02.3,Regulatory Identified,"Finalize requirements, upstream sources, and owners for a new service acting as a unified source of customer level data to enable data consistency.",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,03/31/2026,05/30/2026,Aayush Jain,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022493,,,,01/08/2026,,,03/31/2026,03/31/2026,In Progress,,FALSE,,,1017965,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:24 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017967,In Progress,Counsel - CET - Program Engineering,1022493,DT-02.4,Regulatory Identified,Establish and document governance standards to support the reliability and timeliness of data flowing into transaction search.,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,06/30/2026,08/29/2026,Jim Liu,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022493,,,,01/08/2026,,,06/30/2026,06/30/2026,In Progress,,FALSE,,,1017967,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:24 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017969,In Progress,Counsel - CET - Screening Engineering,1022493,DT-02.5,Regulatory Identified,Establish and document governance standards to support the reliability and timeliness of data flowing into the unified source of customer level data.,https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,06/30/2026,08/29/2026,Aayush Jain,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022493,,,,01/08/2026,,,06/30/2026,06/30/2026,In Progress,,FALSE,,,1017969,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:24 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
1017971,In Progress,Counsel - CET - Program Engineering,1022493,DT-02.6,Regulatory Identified,"Analyze transaction search data for completeness and backfill missing data as needed. Further, enable downstream consumption of data for ML feature building.",https://airtable.com/appsRe3TqOPzoAEJT/pagRb1YG98OogPkIu,Linked to Regulatory Engagements,,09/18/2026,11/17/2026,Jim Liu,Vanessa Zaragocin,,Danielle Franklin,,,Valid,Issue Management | Issue Management Program | ID 1022493,,,,01/08/2026,,,09/18/2026,09/18/2026,In Progress,,FALSE,,,1017971,,,,,,,,,,,,,FTI Consent Order - Multistate (1052341),,,,,,,01/08/2026 5:49:24 AM,Jane Lin,01/08/2026 5:55:32 AM,Jane Lin,active
